Year,Population,"Year on Year Change","Change in Percent"
2000,"641,298",-,-
2001,"636,788","-4,510",-0.70%
2002,"634,269","-2,519",-0.40%
2003,"633,268","-1,001",-0.16%
2004,"637,742","4,474",0.71%
2005,"637,384",-358,-0.06%
2006,"639,259","1,875",0.29%
2007,"640,759","1,500",0.23%
2008,"643,735","2,976",0.46%
2009,"649,116","5,381",0.84%
2010,"674,752","25,636",3.95%
2011,"685,526","10,774",1.60%
2012,"702,227","16,701",2.44%
2013,"723,149","20,922",2.98%
2014,"738,736","15,587",2.16%
2015,"755,537","16,801",2.27%
2016,"756,114",577,0.08%
2017,"756,755",641,0.08%
2018,"760,062","3,307",0.44%
2019,"763,724","3,662",0.48%
2020,"779,563","15,839",2.07%
2021,"777,966","-1,597",-0.20%
2022,"781,057","3,091",0.40%
2023,"789,047","7,990",1.02%
2024,"796,568","7,521",0.95%
